,corr,exp,surid
122,-0.08920044230317656,Breakspear,61
123,0.025444854687640638,Brainsmash,61
124,-0.13836459597277304,Breakspear,62
125,-0.07265565498310754,Brainsmash,62
126,-0.0591938584112782,Breakspear,63
127,-0.025884570273393886,Brainsmash,63
128,-0.14447071637195935,Breakspear,64
129,-0.07589333433535388,Brainsmash,64
130,-0.11019077473315524,Breakspear,65
131,-0.09655649939010859,Brainsmash,65
132,0.030415055431166085,Breakspear,66
133,0.024497107537694678,Brainsmash,66
134,-0.12965876237900487,Breakspear,67
135,0.03722795409328877,Brainsmash,67
136,0.07942226285925887,Breakspear,68
137,0.033434097604578154,Brainsmash,68
138,-0.1174581314065203,Breakspear,69
139,-0.04509954532682526,Brainsmash,69
140,-0.12971403066146647,Breakspear,70
141,0.11148192027207562,Brainsmash,70
142,-0.1527834048435778,Breakspear,71
143,0.06541276972840278,Brainsmash,71
144,-0.10035188373940102,Breakspear,72
145,0.06290705488762512,Brainsmash,72
146,0.21725633026403052,Breakspear,73
147,0.05666311267382178,Brainsmash,73
148,0.05636288071110427,Breakspear,74
149,-0.10981771944647296,Brainsmash,74
150,-0.018641380960630997,Breakspear,75
151,-0.027919779247411767,Brainsmash,75
152,0.33855662468999786,Breakspear,76
153,-0.024383013766933265,Brainsmash,76
154,-0.06932455481576152,Breakspear,77
155,0.02321670981503174,Brainsmash,77
156,-0.023054756108496936,Breakspear,78
157,0.021073193400900584,Brainsmash,78
158,-0.1309520404166939,Breakspear,79
159,0.0444930903283937,Brainsmash,79
160,-0.15739223345365938,Breakspear,80
161,-0.09275920202475185,Brainsmash,80
162,-0.14886044496066636,Breakspear,81
163,0.010709487839955343,Brainsmash,81
164,-0.1564412816327417,Breakspear,82
165,-0.060683419979271666,Brainsmash,82
166,-0.08156260053132694,Breakspear,83
167,-0.061461654817092,Brainsmash,83
168,-0.04444850587514341,Breakspear,84
169,0.012043977096234887,Brainsmash,84
170,0.20435165646604506,Breakspear,85
171,-0.044123632728650976,Brainsmash,85
172,-0.036418334427382876,Breakspear,86
173,-0.1610612457168539,Brainsmash,86
174,-0.12730708790853684,Breakspear,87
175,-0.1608222621493038,Brainsmash,87
176,0.42096242905092207,Breakspear,88
177,0.13380856131125568,Brainsmash,88
178,-0.09915178636913632,Breakspear,89
179,0.06991313456083816,Brainsmash,89
180,-0.05739715172930076,Breakspear,90
181,-0.16094154607186384,Brainsmash,90
182,-0.11789861454494978,Breakspear,91
183,-0.01574822249606767,Brainsmash,91
184,-0.1535806273926148,Breakspear,92
185,0.15999256836380032,Brainsmash,92
186,-0.06484529075620904,Breakspear,93
187,-0.17220547311318254,Brainsmash,93
188,0.2115370144834238,Breakspear,94
189,-0.05584770257938226,Brainsmash,94
190,0.3181831044029754,Breakspear,95
191,-0.059908080123627465,Brainsmash,95
192,-0.12429726509945313,Breakspear,96
193,-0.02842037148466572,Brainsmash,96
194,-0.035092235543056474,Breakspear,97
195,0.17031112161569506,Brainsmash,97
196,-0.11647036001314039,Breakspear,98
197,-0.00014456633458379578,Brainsmash,98
198,-0.13844446850134384,Breakspear,99
199,0.07778116226307516,Brainsmash,99
200,-0.07888980232582027,Breakspear,100
201,0.0005348109387861046,Brainsmash,100
202,-0.151269562664827,Breakspear,101
203,0.0870294148109538,Brainsmash,101
204,-0.08340614885995895,Breakspear,102
205,-0.01494021284231815,Brainsmash,102
206,0.18581631288181025,Breakspear,103
207,-0.05761028876536639,Brainsmash,103
208,0.175954386302236,Breakspear,104
209,-0.02789089047008907,Brainsmash,104
210,-0.007450587203225044,Breakspear,105
211,-0.04113217639947489,Brainsmash,105
212,-0.04179623677104405,Breakspear,106
213,-0.020614099934365457,Brainsmash,106
214,-0.16726476413625635,Breakspear,107
215,0.014528708172344793,Brainsmash,107
216,-0.1276838468086002,Breakspear,108
217,0.005352102099545578,Brainsmash,108
218,-0.17514995114706078,Breakspear,109
219,0.026279244036869116,Brainsmash,109
220,0.20444685045269181,Breakspear,110
221,0.03401163995025964,Brainsmash,110
222,0.08133816869183645,Breakspear,111
223,0.08867570605952745,Brainsmash,111
