"Age","SmoothedValue","ModeName"
12.0707070707071,55.0592716825587,"Mode2"
12.2020202020202,54.9093595547273,"Mode2"
12.3333333333333,54.7646406414454,"Mode2"
12.4646464646465,54.6306472190881,"Mode2"
12.5959595959596,54.5129115640304,"Mode2"
12.7272727272727,54.4169659526473,"Mode2"
12.8585858585859,54.3483426613139,"Mode2"
12.989898989899,54.3125739664052,"Mode2"
13.1212121212121,54.3137870130154,"Mode2"
13.2525252525253,54.349023929543,"Mode2"
13.3838383838384,54.4130988005731,"Mode2"
13.5151515151515,54.5008248975363,"Mode2"
13.6464646464646,54.6070154918629,"Mode2"
13.7777777777778,54.7264838549835,"Mode2"
13.9090909090909,54.8540432583286,"Mode2"
14.040404040404,54.9845236067566,"Mode2"
14.1717171717172,55.113965146921,"Mode2"
14.3030303030303,55.2404176515129,"Mode2"
14.4343434343434,55.3621203583657,"Mode2"
14.5656565656566,55.4773125053128,"Mode2"
14.6969696969697,55.5842333301879,"Mode2"
14.8282828282828,55.6811220708242,"Mode2"
14.959595959596,55.7662179650554,"Mode2"
15.0909090909091,55.8380365714021,"Mode2"
15.2222222222222,55.8980241912564,"Mode2"
15.3535353535354,55.9493923186589,"Mode2"
15.4848484848485,55.9953767062556,"Mode2"
15.6161616161616,56.039213106693,"Mode2"
15.7474747474747,56.0841372726177,"Mode2"
15.8787878787879,56.133384956676,"Mode2"
16.010101010101,56.1901915480718,"Mode2"
16.1414141414141,56.256796603384,"Mode2"
16.2727272727273,56.3322730041325,"Mode2"
16.4040404040404,56.4150656030868,"Mode2"
16.5353535353535,56.5036192530164,"Mode2"
16.6666666666667,56.5963788066908,"Mode2"
16.7979797979798,56.6917891168797,"Mode2"
16.9292929292929,56.7882950363526,"Mode2"
17.0606060606061,56.884315096518,"Mode2"
17.1919191919192,56.9775372891598,"Mode2"
17.3232323232323,57.0648419302261,"Mode2"
17.4545454545455,57.1430675383191,"Mode2"
17.5858585858586,57.2090526320407,"Mode2"
17.7171717171717,57.2596357299931,"Mode2"
17.8484848484849,57.2916553507779,"Mode2"
17.979797979798,57.3019500129977,"Mode2"
18.1111111111111,57.2879100452277,"Mode2"
18.2424242424242,57.2504497315479,"Mode2"
18.3737373737374,57.1918693070095,"Mode2"
18.5050505050505,57.1144723233268,"Mode2"
18.6363636363636,57.0205623322152,"Mode2"
18.7676767676768,56.9124428853886,"Mode2"
18.8989898989899,56.7924175345626,"Mode2"
19.030303030303,56.6627914250294,"Mode2"
19.1616161616162,56.5261050794536,"Mode2"
19.2929292929293,56.3853810483312,"Mode2"
19.4242424242424,56.2437009035659,"Mode2"
19.5555555555556,56.1041462170608,"Mode2"
19.6868686868687,55.9697985607197,"Mode2"
19.8181818181818,55.8437395064456,"Mode2"
19.9494949494949,55.7290506261417,"Mode2"
20.0808080808081,55.6286140474428,"Mode2"
20.2121212121212,55.5425021489329,"Mode2"
20.3434343434343,55.4687102841129,"Mode2"
20.4747474747475,55.4051851140336,"Mode2"
20.6060606060606,55.3498732997475,"Mode2"
20.7373737373737,55.3007215023061,"Mode2"
20.8686868686869,55.2556763827616,"Mode2"
21,55.2126846021646,"Mode2"
8,130.480329956543,"Mode3"
8.13131313131313,130.59425784512,"Mode3"
8.26262626262626,130.708185770325,"Mode3"
8.39393939393939,130.822113768786,"Mode3"
8.52525252525253,130.936041877131,"Mode3"
8.65656565656566,131.049970131986,"Mode3"
8.78787878787879,131.163898569982,"Mode3"
8.91919191919192,131.277827227744,"Mode3"
9.05050505050505,131.391756141776,"Mode3"
9.18181818181818,131.505685343213,"Mode3"
9.31313131313131,131.619614855933,"Mode3"
9.44444444444444,131.733544703296,"Mode3"
9.57575757575758,131.847474908664,"Mode3"
9.70707070707071,131.9614054954,"Mode3"
9.83838383838384,132.075336486864,"Mode3"
9.96969696969697,132.189267906419,"Mode3"
10.1010101010101,132.303199775433,"Mode3"
10.2323232323232,132.417132098997,"Mode3"
10.3636363636364,132.531064874253,"Mode3"
10.4949494949495,132.644998098291,"Mode3"
10.6262626262626,132.7589317682,"Mode3"
10.7575757575758,132.872865881069,"Mode3"
10.8888888888889,132.986800433986,"Mode3"
11.020202020202,133.100735424041,"Mode3"
11.1515151515152,133.214670848945,"Mode3"
11.2828282828283,133.32860670798,"Mode3"
11.4141414141414,133.442543000674,"Mode3"
11.5454545454545,133.556479726556,"Mode3"
11.6767676767677,133.670416885157,"Mode3"
11.8080808080808,133.784354476004,"Mode3"
11.9393939393939,133.898292498626,"Mode3"
12.0707070707071,134.012230952721,"Mode3"
12.2020202020202,134.126169841245,"Mode3"
12.3333333333333,134.240109170098,"Mode3"
12.4646464646465,134.354048945288,"Mode3"
12.5959595959596,134.467989172823,"Mode3"
12.7272727272727,134.58192985871,"Mode3"
12.8585858585859,134.695871008956,"Mode3"
12.989898989899,134.809812629569,"Mode3"
13.1212121212121,134.923754722921,"Mode3"
13.2525252525253,135.037697273047,"Mode3"
13.3838383838384,135.151640258218,"Mode3"
13.5151515151515,135.265583656701,"Mode3"
13.6464646464646,135.379527446765,"Mode3"
13.7777777777778,135.493471606676,"Mode3"
13.9090909090909,135.607416114704,"Mode3"
14.040404040404,135.721360949024,"Mode3"
14.1717171717172,135.835306081056,"Mode3"
14.3030303030303,135.949251471007,"Mode3"
14.4343434343434,136.063197078028,"Mode3"
14.5656565656566,136.177142861267,"Mode3"
14.6969696969697,136.291088779875,"Mode3"
14.8282828282828,136.405034793001,"Mode3"
14.959595959596,136.518980859795,"Mode3"
15.0909090909091,136.632926939169,"Mode3"
15.2222222222222,136.746872987514,"Mode3"
15.3535353535354,136.860818959702,"Mode3"
15.4848484848485,136.974764810585,"Mode3"
15.6161616161616,137.088710495015,"Mode3"
15.7474747474747,137.202655967843,"Mode3"
15.8787878787879,137.316601183921,"Mode3"
16.010101010101,137.430546098098,"Mode3"
