,EMOTION-FACES-SHAPES,GAMBLING-REWARD,LANGUAGE-STORY-MATH,MOTOR-AVG,RELATIONAL-REL,SOCIAL-TOM,WM-2BK
TGC 35,-0.08737706418595569,-0.08531195760714665,-0.03863135305650364,-0.06121908979812494,-0.12210576160055504,0.0039243806705397,0.02459567347834903
TGC 36,-0.06594880080504283,-0.16723443654751124,-0.2633425639723832,-0.12296366583853384,-0.2020715507701599,-0.1537616287054957,0.012992487945823033
TGC 37,0.04978296062806917,0.12977142608160594,0.2499688199849607,0.17981128504763663,0.23591963594632692,0.22042776225654462,0.02013465354871683
TGC 38,-0.07516310333561696,0.027429137696602858,-0.10550811610479824,-0.03699187358282991,0.027367697720072113,-0.03220270960162004,0.034786889728772155
TGC 39,0.06418470952828491,-0.037233966951108394,-0.11037851714893147,-0.061452589068503635,0.08464316832468254,0.01159994083846876,-0.036617186165580566
TGC 40,0.033886160544818134,0.15014332974442748,0.16943300107285683,0.08292714251339887,0.023994172888653447,0.18287333516692347,0.0307249690143709
TGC 41,-0.021791732006551896,0.22849482183352804,0.18846120613466766,-0.08265415163523274,0.08715437350489658,0.14994352109914913,0.14113580928591338
TGC 42,-0.07783253842294362,0.11895737558868007,-0.14467523388149672,-0.017040948829324908,0.15232443976924215,-0.022543370074504604,0.07053330404494632
TGC 43,0.01589410152631702,-0.11898701290449883,0.07876860857277092,-0.05270437593539584,0.021642267878588115,0.059308369978267855,-0.04812252166579642
TGC 44,0.012189311737334075,-0.04981017365300715,0.12563283590219934,0.05274895084554731,0.14694143180922073,0.216285634548968,0.05961772179818821
TGC 45,0.07155623378936744,0.17083646192100777,0.12648151689774162,0.0904971288594905,0.20676496954626777,0.13789290525384212,0.03448351274469898
TGC 46,0.06435473737743454,-0.009000690479771659,0.10702183913257961,-0.022273429573947127,-0.008495186325011169,-0.1406264272624327,-0.05581090108535767
TGC 47,0.027670624290593897,-0.02351976595593986,0.16189401851213453,-0.05343294123314062,-0.01085559229134399,0.03698079980011652,0.06854198068140034
TGC 48,-0.05581120964849366,-0.01913888243656375,-0.04453933012386385,-0.11915369422836834,0.012812211908096692,-0.022980501295269965,0.09533488675036367
TGC 49,0.0017969878089826752,0.2340708253566803,0.09691345173787397,0.07801587178523006,0.051361056564196,0.062403170664978275,0.04341458346734113
TGC 50,-0.07364559314437262,-0.05840188228888425,-0.28900706186979375,-0.13537374054134754,-0.09860231521648403,-0.11829742712726597,0.02391535176733909
TGC 51,0.050575355660123146,0.27878996780643206,0.28674269617860626,0.060258992350912075,0.16009529150221127,0.24516142308639394,0.13709634307591176
TGC 52,-0.03238866375486041,-0.07412197629375206,0.1028468082269557,-0.006564249433417928,-0.1824891042282203,0.03338051353016651,0.014603096847855854
TGC 53,0.016906504553915937,0.025004442853486495,0.07865974725160363,0.03946552293635804,0.1322474787783207,0.003251291909374465,0.1169753479903361
TGC 54,0.043852525546422716,-0.0011675010414557013,0.11307081369224148,-0.018052611610076444,0.06746660269077862,0.12895064609815365,-0.017955388999207803
TGC 55,-0.012966232468101833,-0.16767427064398513,0.013290840814658828,-0.014131857795253748,-0.18145361512218428,-0.014910582010467896,-0.11646614992691033
TGC 56,-0.01592599134128385,-0.2013337957311689,0.12791057358401342,0.061741245053768226,0.07190314376553072,0.0182446906727846,0.0362258242725701
