interview_age,SmoothedValue,UpperCI,LowerCI,ModeName,Derivative,Curvature
12.88772455,131.1712391,133.1981228,129.1443553,Mode3,0.806214037,0.137884954
12.97055888,131.2380213,133.257343,129.2186997,Mode3,0.806215564,0.155125914
13.05339321,131.3048037,133.3170189,129.2925885,Mode3,0.806217112,0.155131255
13.13622754,131.3715862,133.3771554,129.3660171,Mode3,0.806218682,0.120665357
13.21906188,131.4383689,133.437757,129.4389808,Mode3,0.806220269,0.155109891
13.30189621,131.5051517,133.498828,129.5114754,Mode3,0.806221876,0.155120573
13.38473054,131.5719346,133.5603723,129.5834969,Mode3,0.806223501,0.146508104
13.46756487,131.6387176,133.6223937,129.6550415,Mode3,0.806225144,0.146524127
13.5503992,131.7055008,133.6848957,129.726106,Mode3,0.806226804,0.137900976
13.63323353,131.7722842,133.7478812,129.7966871,Mode3,0.806228478,0.146518786
13.71606786,131.8390676,133.811353,129.8667822,Mode3,0.806230169,0.137927681
13.7989022,131.9058512,133.8753136,129.9363889,Mode3,0.806231872,0.142220563
13.88173653,131.972635,133.939765,130.0055049,Mode3,0.806233588,0.14220454
13.96457086,132.0394189,134.004709,130.0741288,Mode3,0.806235316,0.142215222
14.04740519,132.1062029,134.0701468,130.142259,Mode3,0.806237056,0.144380356
14.13023952,132.1729871,134.1360795,130.2098946,Mode3,0.806238806,0.142215222
14.21307385,132.2397714,134.2025078,130.277035,Mode3,0.806240565,0.143308471
14.29590818,132.3065559,134.2694318,130.34368,Mode3,0.806242333,0.143028483
14.37874251,132.3733405,134.3368514,130.4098296,Mode3,0.806244109,0.143281767
14.46157685,132.4401253,134.4047661,130.4754844,Mode3,0.806245891,0.142225904
14.54441118,132.5069102,134.4731751,130.5406452,Mode3,0.806247679,0.146502763
14.62724551,132.5736952,134.5420771,130.6053133,Mode3,0.806249472,0.142231245
14.71007984,132.6404805,134.6114706,130.6694903,Mode3,0.806251269,0.142231245
14.79291417,132.7072658,134.6813535,130.7331781,Mode3,0.806253068,0.14654549
14.8757485,132.7740513,134.7517236,130.796379,Mode3,0.80625487,0.146550831
14.95858283,132.840837,134.8225782,130.8590958,Mode3,0.806256674,0.146534809
15.04141717,132.9076228,134.8939144,130.9213312,Mode3,0.806258478,0.137884954
15.1242515,132.9744087,134.9657288,130.9830887,Mode3,0.80626028,0.146529468
15.20708583,133.0411949,135.0380178,131.0443719,Mode3,0.806262081,0.155136596
15.28992016,133.1079811,135.1107776,131.1051846,Mode3,0.80626388,0.137895636
15.37275449,133.1747675,135.1840039,131.1655311,Mode3,0.806265676,0.155120573
15.45558882,133.2415541,135.2576924,131.2254158,Mode3,0.806267467,0.155147277
15.53842315,133.3083408,135.3318382,131.2848433,Mode3,0.806269253,0.137879613
15.62125749,133.3751276,135.4064364,131.3438188,Mode3,0.806271033,0.155141937
15.70409182,133.4419146,135.4814819,131.4023473,Mode3,0.806272805,0.1551633
15.78692615,133.5087018,135.5569693,131.4604342,Mode3,0.806274572,0.120660016
15.86976048,133.575489,135.6328929,131.5180852,Mode3,0.806276327,0.120692062
15.95259481,133.6422765,135.7092471,131.5753059,Mode3,0.806278072,0.155141937
16.03542914,133.7090641,135.7860259,131.6321022,Mode3,0.806279821,-0.275737863
16.11826347,133.7758518,135.8632232,131.6884804,Mode3,0.806281546,-0.292984163
16.2010978,133.8426396,135.9408328,131.7444464,Mode3,0.806283256,-0.27578593
16.28393214,133.9094276,136.0188485,131.8000067,Mode3,0.806284956,-0.275753885
16.36676647,133.9762158,136.0972639,131.8551677,Mode3,0.806286642,-0.275769908
16.4496008,134.0430041,136.1760723,131.9099358,Mode3,0.806288314,-0.275764567
16.53243513,134.1097925,136.2552673,131.9643177,Mode3,0.80628997,-0.275769908
16.61526946,134.176581,136.3348422,132.0183198,Mode3,0.806291611,-0.275780589
16.69810379,134.2433697,136.4147904,132.071949,Mode3,0.806293235,-0.275732522
16.78093812,134.3101586,136.4951052,132.1252119,Mode3,0.806294841,-0.275753885
16.86377246,134.3769475,136.5757798,132.1781152,Mode3,0.806296428,-0.275732522
16.94660679,134.4437366,136.6568075,132.2306657,Mode3,0.806297999,-0.310187738
17.02944112,134.5105258,136.7381816,132.2828701,Mode3,0.806299544,-0.275839339
17.11227545,134.5773152,136.8198954,132.334735,Mode3,0.806301071,-0.275801953
17.19510978,134.6441047,136.9019422,132.3862672,Mode3,0.806302578,-0.275732522
17.27794411,134.7108942,136.9843152,132.4374733,Mode3,0.806304062,-0.275727181
17.36077844,134.777684,137.067008,132.4883599,Mode3,0.806305527,-0.31020376
17.44361277,134.8444738,137.150014,132.5389336,Mode3,0.806306962,-0.275727181
17.52644711,134.9112638,137.2333266,132.5892009,Mode3,0.806308377,-0.275833998
17.60928144,134.9780538,137.3169393,132.6391683,Mode3,0.806309767,-0.275732522
17.69211577,135.044844,137.4008459,132.6888421,Mode3,0.806311132,-0.27572184
17.7749501,135.1116343,137.4850399,132.7382287,Mode3,0.806312471,-0.275737863
17.85778443,135.1784247,137.5695152,132.7873342,Mode3,0.806313785,-0.275807294
17.94061876,135.2452152,137.6542657,132.8361648,Mode3,0.806315075,-0.310278532
18.02345309,135.3120059,137.7392851,132.8847266,Mode3,0.806316334,-0.310241146
18.10628743,135.3787966,137.8245677,132.9330255,Mode3,0.806317562,-0.275769908
18.18912176,135.4455874,137.9101074,132.9810674,Mode3,0.80631877,-0.34474443
18.27195609,135.5123783,137.9958986,133.0288581,Mode3,0.806319946,-0.344771134
18.35479042,135.5791694,138.0819355,133.0764033,Mode3,0.806321093,-0.344707044
18.43762475,135.6459605,138.1682125,133.1237084,Mode3,0.806322211,-0.344707044
18.52045908,135.7127517,138.2547242,133.1707791,Mode3,0.806323299,-0.344755112
18.60329341,135.779543,138.3414652,133.2176207,Mode3,0.806324357,-0.344723066
18.68612774,135.8463344,138.4284303,133.2642384,Mode3,0.806325385,-0.344723066
18.76896208,135.9131258,138.5156141,133.3106375,Mode3,0.806326381,-0.34468568
18.85179641,135.9799174,138.6030118,133.356823,Mode3,0.806327339,-0.206795386
18.93463074,136.046709,138.6906182,133.4027997,Mode3,0.806328272,-0.206752659
19.01746507,136.1135007,138.7784286,133.4485728,Mode3,0.80632918,-0.275759226
19.1002994,136.1802925,138.8664382,133.4941467,Mode3,0.806330049,-0.275812635
19.18313373,136.2470843,138.9546424,133.5395263,Mode3,0.806330885,-0.275887407
19.26596806,136.3138762,139.0430365,133.584716,Mode3,0.806331688,-0.344787157
19.3488024,136.3806682,139.1316161,133.6297203,Mode3,0.806332458,-0.344680339
19.43163673,136.4474602,139.220377,133.6745435,Mode3,0.806333196,-0.344648294
19.51447106,136.5142523,139.3093148,133.7191899,Mode3,0.8063339,-0.344701703
19.59730539,136.5810445,139.3984254,133.7636636,Mode3,0.806334571,-0.344733748
19.68013972,136.6478367,139.4877047,133.8079687,Mode3,0.806335209,-0.344733748
19.76297405,136.714629,139.5771488,133.8521091,Mode3,0.806335808,-0.206870158
19.84580838,136.7814213,139.6667538,133.8960887,Mode3,0.80633638,-0.206923566
19.92864271,136.8482136,139.756516,133.9399113,Mode3,0.80633692,-0.206902203
20.01147705,136.915006,139.8464316,133.9835805,Mode3,0.806337428,-0.206816749
20.09431138,136.9817985,139.9364971,134.0270998,Mode3,0.80633791,-0.275940815
20.17714571,137.048591,140.026709,134.0704729,Mode3,0.806338353,-0.344733748
20.25998004,137.1153835,140.1170638,134.1137031,Mode3,0.806338765,-0.344669658
20.34281437,137.182176,140.2075582,134.1567938,Mode3,0.806339147,-0.344733748
20.4256487,137.2489686,140.298189,134.1997482,Mode3,0.806339498,-0.344658976
20.50848303,137.3157612,140.388953,134.2425694,Mode3,0.806339819,-0.34474443
20.59131737,137.3825538,140.4798471,134.2852605,Mode3,0.806340105,-0.206816749
20.6741517,137.4493465,140.5708684,134.3278246,Mode3,0.806340376,-0.344669658
20.75698603,137.5161392,140.6620137,134.3702646,Mode3,0.806340612,-0.344840565
20.83982036,137.5829319,140.7532804,134.4125833,Mode3,0.806340814,-0.206838113
20.92265469,137.6497246,140.8446656,134.4547835,Mode3,0.806340998,-0.206880839
21.00548902,137.7165173,140.9361666,134.496868,Mode3,0.806341164,-0.275876725
21.08832335,137.78331,141.0277807,134.5388394,Mode3,0.806341301,-0.275791271
21.17115768,137.8501028,141.1195054,134.5807002,Mode3,0.806341415,-0.275716499
21.25399202,137.9168955,141.2113381,134.6224529,Mode3,0.80634151,-0.344755112
21.33682635,137.9836883,141.3032764,134.6641001,Mode3,0.806341586,-0.344776475
21.41966068,138.0504811,141.395318,134.7056441,Mode3,0.806341645,-0.344691021
21.50249501,138.1172738,141.4874604,134.7470872,Mode3,0.80634169,-0.344680339
21.58532934,138.1840666,141.5797015,134.7884317,Mode3,0.806341721,-0.344840565
21.66816367,138.2508594,141.672039,134.8296798,Mode3,0.806341734,-0.206880839
21.750998,138.3176522,141.7644707,134.8708336,Mode3,0.806341746,-0.206859476
21.83383234,138.3844449,141.8569947,134.9118952,Mode3,0.806341751,-0.206816749
21.91666667,138.4512377,141.9496088,134.9528666,Mode3,0.806341753,-0.206816749
8.083333333,44.66476522,45.39000637,43.93952407,Mode4,-0.101718864,-0.143468279
8.166167665,44.65633949,45.36975916,43.94291981,Mode4,-0.101715851,0.021296257
8.249001996,44.64791434,45.34961897,43.9462097,Mode4,-0.101703937,-0.049317116
8.331836327,44.63949073,45.32959268,43.94938878,Mode4,-0.101677581,-0.025779325
8.414670659,44.63107009,45.30968814,43.95245204,Mode4,-0.101631508,-0.10349145
8.49750499,44.62265419,45.28991404,43.95539434,Mode4,-0.101563062,-0.032878077
8.580339321,44.61424495,45.27027955,43.95821035,Mode4,-0.101470076,-0.110590202
8.663173653,44.60584458,45.25079456,43.9608946,Mode4,-0.101348113,0.054174334
8.746007984,44.59745566,45.23146979,43.96344152,Mode4,-0.101192978,-0.110590202
8.828842315,44.58908109,45.21231674,43.96584545,Mode4,-0.101000759,-0.134127993
8.911676647,44.58072412,45.1933476,43.96810064,Mode4,-0.10076777,-0.096392697
