,AF,ATR,CG,CST,MLF,FPT,IFO,ILF,OR,POPT,SLF_I,SLF_II,SLF_III,STR,UF,T_PREF,T_PREM,T_PREC,T_POSTC,T_PAR,T_OCC,ST_FO,ST_PREF,ST_PREM,ST_PREC,ST_POSTC,ST_PAR,ST_OCC,CA,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7,pearson r
102715,0.9144178351667771,0.9632550288493706,0.9216357443518836,0.95625941902808,0.931184615062283,0.9242276247274476,0.9228587163338521,0.9513092337333511,0.9562129158517376,0.9241773369515229,0.9184719294895932,0.9400185304739163,0.9410365309433867,0.90828323048816,0.8805783319316631,0.9342930959366749,0.9285367168748005,0.9451564230528002,0.9454973929148828,0.9315087949522571,0.9546348519515081,0.9414754976928107,0.9238246216689547,0.9244460715948982,0.9445887822262925,0.9502671462225456,0.9373427739144619,0.9482047047633112,0.8397655508952723,0.9311671989140765,0.8861168163666826,0.938489595231302,0.9366395426482025,0.9298309699805841,0.8649622987772797,0.9293679013313609,0.921992770260763
102816,0.8990767593580865,0.9476434822701801,0.908674310469402,0.9528090100984962,0.9282000326261922,0.8967851721806157,0.8862662747002232,0.9189451051892026,0.931946700500052,0.9073519639284562,0.9158014416138242,0.9367032957906777,0.9226013450772919,0.9461400112550599,0.8533803466267582,0.9140042611474187,0.9277441207863272,0.9483639503179631,0.94812832536205,0.9077484124005368,0.9324506921951689,0.9217491446946038,0.9139837629251415,0.9366591463173022,0.9430023556951258,0.9470771038658923,0.9120606019490558,0.9183364552460481,0.8940823402655375,0.9247328508994461,0.8956817553357409,0.9108247774137859,0.9533673674256959,0.9371691713080207,0.8787085304455134,0.9191565352223177,0.9400727165269546
103111,0.8955859417536246,0.9565519898674976,0.8973191583475922,0.9470147549164478,0.9166984383305095,0.9413649504989778,0.9026543113194573,0.930277913280731,0.9452682453192329,0.9239508722370067,0.9284513920879741,0.9448421432848425,0.9409167555413378,0.9499743900001468,0.8896443565927877,0.9389170849772476,0.940955059514824,0.9475179692817747,0.9615085351331912,0.9362869878243577,0.9440651196495599,0.93803120013627,0.9347659103324675,0.9481825433774126,0.9437449189208551,0.9505937067042791,0.9336384072609885,0.9126973400115689,0.8535951702042173,0.8952487639859826,0.8835063381590075,0.9425012202004621,0.9383760550523017,0.9373915892656741,0.8779193416343245,0.8494691092672503,0.9143881388006441
103212,0.8936615892826609,0.9640733921458434,0.9184731224196401,0.9518497612973091,0.9217621243816765,0.9206801801960228,0.9155966336659975,0.9425754186068612,0.9554043690768137,0.9352528070234047,0.9340703138057871,0.9271338205310287,0.9501494422312395,0.9325477925257889,0.878176604350272,0.9339284391675416,0.9431484437941777,0.9521652595414034,0.9658755574305858,0.9366136089516641,0.9549305576094563,0.9420008972886282,0.9218508487812885,0.9448757903996876,0.9516268516773374,0.9666112693943741,0.9389518579582236,0.9431023065909205,0.8756723534176618,0.9254119437303124,0.8632260801334988,0.9366941112878892,0.9420232728253164,0.933784128884873,0.9029554229860629,0.9397498128519916,0.9198909730137576
103414,0.9034167916789169,0.9630578804005993,0.9153890359355713,0.959445860910484,0.9199732964154327,0.9451571115998181,0.9127086719754721,0.9414128379624801,0.937085955842663,0.9104959018694078,0.9352167966703941,0.9349907840528154,0.9443287211098425,0.9277068874427015,0.9163483114473118,0.9464517098726375,0.9502194070073587,0.9590340881257129,0.9653526751281142,0.9229152334847083,0.9364145854910115,0.9585567551851022,0.9394871220400085,0.9555390687572524,0.9584322770932932,0.9608696949837734,0.9273531487418022,0.924181329362734,0.868848588073197,0.9504085377985032,0.9029901548018656,0.9442415797439082,0.9625718192840905,0.9423798690680155,0.8139367974021438,0.9222591347293556,0.907454073638662
103515,0.9081560101938313,0.9465471533806601,0.9133189670256541,0.9596186907726021,0.9092124932219444,0.9281483803182691,0.9019912549288323,0.937905120311872,0.9139595069690529,0.9029013088479457,0.9166456802048485,0.896008509244607,0.9222951014405346,0.9293383903032908,0.8854239869307535,0.928140945204168,0.9298965377039277,0.9583299247704148,0.9545914898979195,0.8989738594579492,0.9143693634467552,0.9291077837835015,0.9157395203811232,0.9417679483247273,0.9523370077863836,0.9568935290066777,0.905777427845461,0.9063962499070292,0.8835354127509665,0.931973604309292,0.8869362644064482,0.927833912425188,0.947071734498206,0.9120306335137762,0.8339238902305331,0.9127321882655048,0.9107689815600356
103818,0.9220297641310792,0.9574948096692253,0.8928048896046875,0.9418912122575239,0.9373205665495558,0.9322130166944218,0.9274788822443377,0.9460998048426925,0.9411758855563889,0.9284124844817222,0.9340398033968081,0.9298876621392308,0.9408483218361093,0.9236495110261747,0.9437341375533591,0.9322435318116646,0.9466332683574994,0.9416048598746131,0.947750995708172,0.9157617705461204,0.9414075414071318,0.9619388193439081,0.923901277577566,0.9505543716883421,0.9510109430341512,0.9551557614210162,0.9240841771776744,0.9389874991955915,0.8696126753836371,0.9444352721495741,0.8835135429171421,0.9346597934227536,0.9348113152900667,0.9224125571314464,0.896685174268675,0.9536317179032242,0.9230848653492579
104012,0.8975457898603325,0.9484370441571193,0.9057717185214194,0.9318727953953543,0.912945120762834,0.8961807477070588,0.9104615709837061,0.9327138603967243,0.9410520082048429,0.9042465515773355,0.9170727935362534,0.912297892453475,0.9424627735207516,0.9336649313343738,0.8667472208637768,0.9293976698534855,0.9340945159184643,0.9317175085980267,0.9557342851351684,0.9097825498221475,0.9419210703627037,0.9583001968505158,0.9197068335651951,0.9411818930028457,0.9383234017776788,0.9532246620516571,0.9182039959024131,0.9322533166958786,0.800872629557788,0.9106848291064461,0.8892332514688572,0.9396696982824155,0.9114632884965154,0.9157541534908848,0.895177513715231,0.9381281697553887,0.9262151437517938
104416,0.9113751354568883,0.9617356108074367,0.9002902726702544,0.9535000330113791,0.9219006213196177,0.9380177078052554,0.9091740616064831,0.9436792410505289,0.9282927614120449,0.8961607748930376,0.926930108945916,0.9269027394776211,0.9425528484195117,0.9263805166934549,0.8772476814612986,0.9402136788618856,0.950143678758261,0.948666456155711,0.9623991173388527,0.9291872763822995,0.929164080569783,0.9405480608984578,0.9301801682532231,0.9525544483476065,0.9521917137683673,0.9648273539915785,0.9363602874828346,0.9286540457388847,0.8749248178723489,0.9410879959915964,0.8850882459319438,0.9422121969013522,0.9478631930811032,0.9518313568346549,0.8786136740732156,0.9216598332808112,0.9192620295173086
104820,0.8914578907576763,0.9557478340427796,0.8850739086562143,0.8645486044886237,0.912294345868475,0.9230533407950955,0.9033253085851746,0.9207750480404219,0.9313608328409207,0.8762492795280564,0.9177983945058032,0.926190911716351,0.9317556511190622,0.9208245544521215,0.8613746377934075,0.9316819882482692,0.9204093006791879,0.939868660731179,0.9355315517906737,0.9104156115088864,0.9304058579597786,0.9327125234330902,0.9221818006950797,0.9307418946946319,0.9361306519221723,0.9388099079176805,0.9193500547313056,0.9292452503028094,0.7830441717374552,0.8947025560163471,0.8717696929436416,0.931873048202823,0.947312179153494,0.926341960063386,0.8729808987540673,0.906917863947373,0.9411394684204257
